2,1,9996,4,43397,0
4,2,11898,6,35590,9
6,3,10947,8,58552,3647
8,4,13000,8,143,0
10,5,11901,8,31636,0
12,6,9522,8,8609,0
14,7,10986,11,56715,0
16,8,10580,12,42635,0
18,9,9995,16,24470,0
20,10,10690,15,20026,0
22,11,8010,16,9785,0
24,12,13368,17,9316,0
26,13,13555,17,4082,0
28,14,8464,20,61374,0
30,15,10540,21,58736,0
32,16,9126,27,53751,0
34,17,10668,25,51788,0
36,18,8770,31,48246,0
38,19,5772,32,48074,0
40,20,7932,31,46295,0
42,21,7368,30,38084,0
44,22,9658,34,41063,0
46,23,7522,37,37037,0
48,24,11247,38,37500,0
50,25,14184,43,37067,0
52,26,11961,43,33619,0
54,27,11490,46,30378,0
56,28,12895,48,32216,0
58,29,12948,49,30096,0
60,30,10750,49,27953,0
62,31,9240,52,22009,0
64,32,9813,54,20489,0
66,33,9047,54,20362,0
68,34,10880,59,23129,0
70,35,11901,60,23808,0
72,36,13452,63,23662,0
74,37,14985,65,25758,0
76,38,13977,67,24087,0
78,39,14850,69,24323,0
80,40,8448,64,15940,0
82,41,13836,73,21501,0
84,42,13748,75,21289,0
86,43,13632,74,20453,0
88,44,13655,77,19489,0
90,45,9248,70,12490,0
92,46,12762,78,17021,0
94,47,10674,74,15495,0
96,48,10494,82,15160,0
98,49,11092,82,14453,0
100,50,9801,73,9804,0
102,51,9613,73,9616,0
104,52,9431,71,9434,0
106,53,9257,75,9259,0
108,54,9089,76,9091,0
110,55,8927,73,8929,0
112,56,11692,86,11695,0
114,57,11492,85,11494,0
116,58,11296,92,11299,0
118,59,11108,87,11110,0
120,60,10926,90,10928,0
122,61,10750,86,10752,0
124,62,11901,105,11904,0
126,63,11715,103,11718,0
128,64,12304,102,12306,0
130,65,12116,110,12120,0
132,66,12324,110,11842,0
134,67,13185,119,12066,0
136,68,13446,122,12249,0
138,69,14168,122,12259,0
140,70,14080,120,12323,0
142,71,14135,127,12601,0
144,72,14612,129,12572,0
146,73,9006,92,4506,0
148,74,8647,92,4685,0
150,75,11042,107,7634,0
152,76,15209,143,12758,0
154,77,14931,145,12107,0
156,78,14756,142,11602,0
158,79,14058,130,10936,0
160,80,14063,139,10334,0
162,81,13512,141,9941,0
164,82,12044,131,9035,0
166,83,11900,133,8927,0
168,84,11760,124,7842,0
170,85,11625,122,7751,0
172,86,11492,104,5747,0
174,87,11361,127,7575,0
176,88,11232,106,5617,0
178,89,11108,106,5555,0
180,90,8894,92,2094,0
182,91,9135,82,1733,0
184,92,9157,81,1594,0
186,93,9071,103,1566,0
188,94,9082,105,1443,0
190,95,9273,97,1142,0
192,96,9460,91,848,0
194,97,12858,161,8059,0
196,98,13404,167,7865,0
198,99,13326,170,7777,0
200,100,9899,43,1,0
202,101,12250,153,7351,0
204,102,12130,158,7280,0
206,103,12480,155,7117,0
208,104,12692,153,6348,0
210,105,11785,171,7074,0
212,106,12456,144,6229,0
214,107,12340,156,6172,0
216,108,12228,148,6115,0
218,109,12116,153,6059,0
220,110,12008,151,6005,0
222,111,11900,154,5951,0
224,112,12570,160,4657,0
226,113,12711,157,4532,0
228,114,12852,140,4410,0
230,115,12927,133,4310,0
232,116,12816,132,4273,0
234,117,12708,132,4237,0
236,118,12600,134,4201,0
